County,Percent_Vacc
Crawford County,31.1
Elko County,38.9
Poweshiek County,56
Wyoming County,55.2
Noble County,36.7
Teton County,88
Cleveland County,49.3
Greene County,35.3
Butte County,37.3
Essex County,65.6
Butler County,47.8
White County,13.6
Stanislaus County,55
Henry County,23.3
Marshall County,42.4
McIntosh County,41.8
Cumberland County,46.7
Marshall County,49.7
Unknown County,0
Yoakum County,37.8
Chester County,42.9
Miami County,44.8
Bristol County,74.5
Pend Oreille County,37.9
Woodward County,35.9
Inyo County,0
Slope County,10.4
Kent County,63.9
Dimmit County,61.9
Comanche County,43.1
Bowman County,37.6
Hendricks County,67.9
Randolph County,35.4
Williamsburg city,39.1
Grant County,52.2
Delaware County,35.6
Chester County,33.6
Roberts County,65.7
East Feliciana Parish,37.8
Clearwater County,39.9
Frederick County,46.2
Piute County,37.1
Scott County,45.2
Parke County,37.8
Unknown County,0
Cascade County,50.7
Washington County,55.3
Ottawa County,54
Franklin County,16.6
